PlayerId,Name,age_2025,last_season,k_pct_projected,pi80_low,pi80_high,pred_sd,reliability,tbf_projected,w_bf,raw_w_rate,stuff_wtd,stuff_delta,stuff_residual,age_adj,league_shift,pred_eb,pred_ridge,n_seasons,is_pos_player
621242,Edwin Díaz,31,2024,0.348836,0.287058,0.410614,0.048204,0.687355,176.225,298.25,0.420117,119.764981,-18.752799,0.680378,-0.010632,-0.000149,0.361975,0.335697,2,False
642207,Devin Williams,30,2024,0.346018,0.278223,0.413812,0.052898,0.696007,126.26,310.6,0.398583,113.207426,5.137236,0.658623,-0.00657,-0.000884,0.347682,0.344353,3,False
642585,Félix Bautista,30,2023,0.343785,0.279788,0.407782,0.049935,0.62976,177.875,230.75,0.419502,128.369776,-4.986824,0.614136,-0.013141,-0.001002,0.354228,0.333343,2,False
695243,Mason Miller,26,2024,0.341372,0.282292,0.400452,0.046098,0.710166,192.84,332.4,0.381468,124.925353,16.771869,0.478813,-0.002057,-0.000944,0.348117,0.334627,2,False
675911,Spencer Strider,26,2024,0.333729,0.275306,0.392151,0.045586,0.834614,145.26,684.6,0.367076,117.358172,-9.712952,0.481146,-0.002057,-0.001247,0.346731,0.320727,3,False
623352,Josh Hader,31,2024,0.332061,0.278915,0.385206,0.041468,0.784294,220.525,493.25,0.373746,113.38614,0.785493,0.551363,-0.010632,-0.000776,0.336956,0.327165,3,False
547973,Aroldis Chapman,37,2024,0.317498,0.263764,0.371232,0.041927,0.776161,213.04,470.4,0.371705,110.197617,-12.458007,0.579733,-0.016756,-0.000886,0.326616,0.30838,3,False
669093,Jeremiah Estrada,26,2024,0.317229,0.257355,0.377103,0.046718,0.684519,190.235,294.35,0.355359,107.188009,1.86457,0.550936,-0.002057,-0.00068,0.316709,0.317749,3,False
594798,Jacob deGrom,37,2024,0.317101,0.240447,0.393754,0.059811,0.591767,97.265,196.65,0.390033,121.559363,-7.523857,0.540218,-0.016756,-0.000512,0.324536,0.309666,3,False
518585,Fernando Cruz,35,2024,0.315994,0.263134,0.368853,0.041245,0.778861,222.98,477.8,0.366576,103.501983,1.060226,0.649709,-0.016756,-0.00104,0.319083,0.312904,3,False
676979,Garrett Crochet,26,2024,0.315652,0.271599,0.359706,0.034374,0.823603,361.34,633.4,0.341332,115.095946,9.724747,0.392139,-0.002057,-0.000634,0.324213,0.307092,2,False
